resourcexid,notes,datestarted,dateended,relationshiptype,resourceinstanceidfrom,resourceinstanceidto,modified,created,inverserelationshiptype,tileid,nodeid,resourceinstancefrom_graphid,resourceinstanceto_graphid
c9823ad9-2537-11eb-9d07-0610f586dfc5,"",,,3fd5b5a3-9060-4db4-84be-dbf87c44a46f,69c7e50b-798f-4967-9780-7084fb68bb15,604c3c01-5689-49b8-9a2d-ae2f001d6d93,2020-11-12 23:34:22.04033+00,2020-11-12 22:38:30.065757+00,,,,23a06a1c-9fdc-11e7-b2cc-02e0c6d7ad7a,6b371a4c-e505-11e7-b2cc-02e0c6d7ad7a
c9823ada-2537-11eb-9d07-0610f586dfc5,"",,,3775f52e-a78d-4bc0-b582-3de9fe8310e7,69c7e50b-798f-4967-9780-7084fb68bb15,19d9f447-ba34-40dd-9333-6586f87dead1,2020-11-12 23:34:22.049042+00,2020-11-12 22:38:30.072741+00,,,,23a06a1c-9fdc-11e7-b2cc-02e0c6d7ad7a,6b371a4c-e505-11e7-b2cc-02e0c6d7ad7a
c9823adc-2537-11eb-9d07-0610f586dfc5,"",,,626f624f-8256-4c6e-9e49-e85c4aaa5bd8,69c7e50b-798f-4967-9780-7084fb68bb15,03d71608-0fdc-4a64-8a45-1205ee2f11a2,2020-11-12 23:34:22.066016+00,2020-11-12 22:38:30.086392+00,,,,23a06a1c-9fdc-11e7-b2cc-02e0c6d7ad7a,cd37476e-e503-11e7-b2cc-02e0c6d7ad7a
c9823add-2537-11eb-9d07-0610f586dfc5,"",,,5a4c42b4-b884-4d7c-8d52-cffcebf75df8,00ec679e-f765-44d2-b772-5e9e76f8c353,e93dda75-a47b-470d-8a25-0e4d78e84932,2020-11-12 23:34:22.077305+00,2020-11-12 22:38:30.093084+00,,,,23a06a1c-9fdc-11e7-b2cc-02e0c6d7ad7a,5f1b17b2-e506-11e7-b2cc-02e0c6d7ad7a
c9823ade-2537-11eb-9d07-0610f586dfc5,"",,,0bf5d189-9697-423d-b0f0-73bb9089b9ec,00ec679e-f765-44d2-b772-5e9e76f8c353,fab91ca7-5868-4076-b0c2-6c842c82567c,2020-11-12 23:34:22.105338+00,2020-11-12 22:38:30.099885+00,,,,23a06a1c-9fdc-11e7-b2cc-02e0c6d7ad7a,699410ac-e503-11e7-b2cc-02e0c6d7ad7a
c9823adf-2537-11eb-9d07-0610f586dfc5,"",,,626f624f-8256-4c6e-9e49-e85c4aaa5bd8,00ec679e-f765-44d2-b772-5e9e76f8c353,595f0d72-a229-4028-8f5a-085dae3a25d3,2020-11-12 23:34:22.114934+00,2020-11-12 22:38:30.106627+00,,,,23a06a1c-9fdc-11e7-b2cc-02e0c6d7ad7a,cd37476e-e503-11e7-b2cc-02e0c6d7ad7a
c9823ae1-2537-11eb-9d07-0610f586dfc5,"",,,3775f52e-a78d-4bc0-b582-3de9fe8310e7,00ec679e-f765-44d2-b772-5e9e76f8c353,5e4df6f0-382d-4a4d-a439-b3afbb67095a,2020-11-12 23:34:22.133059+00,2020-11-12 22:38:30.119703+00,,,,23a06a1c-9fdc-11e7-b2cc-02e0c6d7ad7a,6b371a4c-e505-11e7-b2cc-02e0c6d7ad7a
c9823ae2-2537-11eb-9d07-0610f586dfc5,"",,,5a4c42b4-b884-4d7c-8d52-cffcebf75df8,00ec679e-f765-44d2-b772-5e9e76f8c353,e93dda75-a47b-470d-8a25-0e4d78e84932,2020-11-12 23:34:22.142014+00,2020-11-12 22:38:30.12667+00,,,,23a06a1c-9fdc-11e7-b2cc-02e0c6d7ad7a,5f1b17b2-e506-11e7-b2cc-02e0c6d7ad7a
c9823ae3-2537-11eb-9d07-0610f586dfc5,"",,,3fd5b5a3-9060-4db4-84be-dbf87c44a46f,00ec679e-f765-44d2-b772-5e9e76f8c353,57a05479-194b-44cb-a49c-545909252af6,2020-11-12 23:34:22.151359+00,2020-11-12 22:38:30.133996+00,,,,23a06a1c-9fdc-11e7-b2cc-02e0c6d7ad7a,6b371a4c-e505-11e7-b2cc-02e0c6d7ad7a
c9823ae4-2537-11eb-9d07-0610f586dfc5,"",,,0bf5d189-9697-423d-b0f0-73bb9089b9ec,096586a8-4619-4121-862b-af44b5bbc815,fab91ca7-5868-4076-b0c2-6c842c82567c,2020-11-12 23:34:22.161059+00,2020-11-12 22:38:30.141421+00,,,,23a06a1c-9fdc-11e7-b2cc-02e0c6d7ad7a,699410ac-e503-11e7-b2cc-02e0c6d7ad7a
c9823ae6-2537-11eb-9d07-0610f586dfc5,"",,,626f624f-8256-4c6e-9e49-e85c4aaa5bd8,096586a8-4619-4121-862b-af44b5bbc815,595f0d72-a229-4028-8f5a-085dae3a25d3,2020-11-12 23:34:22.179093+00,2020-11-12 22:38:30.154747+00,,,,23a06a1c-9fdc-11e7-b2cc-02e0c6d7ad7a,cd37476e-e503-11e7-b2cc-02e0c6d7ad7a
c9823ae7-2537-11eb-9d07-0610f586dfc5,"",,,5a4c42b4-b884-4d7c-8d52-cffcebf75df8,096586a8-4619-4121-862b-af44b5bbc815,e93dda75-a47b-470d-8a25-0e4d78e84932,2020-11-12 23:34:22.187511+00,2020-11-12 22:38:30.161314+00,,,,23a06a1c-9fdc-11e7-b2cc-02e0c6d7ad7a,5f1b17b2-e506-11e7-b2cc-02e0c6d7ad7a
c9823ae8-2537-11eb-9d07-0610f586dfc5,"",,,3775f52e-a78d-4bc0-b582-3de9fe8310e7,096586a8-4619-4121-862b-af44b5bbc815,5e4df6f0-382d-4a4d-a439-b3afbb67095a,2020-11-12 23:34:22.195885+00,2020-11-12 22:38:30.1682+00,,,,23a06a1c-9fdc-11e7-b2cc-02e0c6d7ad7a,6b371a4c-e505-11e7-b2cc-02e0c6d7ad7a
c9823aea-2537-11eb-9d07-0610f586dfc5,"",,,3fd5b5a3-9060-4db4-84be-dbf87c44a46f,096586a8-4619-4121-862b-af44b5bbc815,57a05479-194b-44cb-a49c-545909252af6,2020-11-12 23:34:22.212548+00,2020-11-12 22:38:30.183188+00,,,,23a06a1c-9fdc-11e7-b2cc-02e0c6d7ad7a,6b371a4c-e505-11e7-b2cc-02e0c6d7ad7a
c9823aeb-2537-11eb-9d07-0610f586dfc5,"",,,5a4c42b4-b884-4d7c-8d52-cffcebf75df8,11499153-25d9-4beb-85e4-44357e9bd4a6,e93dda75-a47b-470d-8a25-0e4d78e84932,2020-11-12 23:34:22.22114+00,2020-11-12 22:38:30.190342+00,,,,23a06a1c-9fdc-11e7-b2cc-02e0c6d7ad7a,5f1b17b2-e506-11e7-b2cc-02e0c6d7ad7a
c9823aec-2537-11eb-9d07-0610f586dfc5,"",,,0bf5d189-9697-423d-b0f0-73bb9089b9ec,11499153-25d9-4beb-85e4-44357e9bd4a6,fab91ca7-5868-4076-b0c2-6c842c82567c,2020-11-12 23:34:22.229763+00,2020-11-12 22:38:30.197218+00,,,,23a06a1c-9fdc-11e7-b2cc-02e0c6d7ad7a,699410ac-e503-11e7-b2cc-02e0c6d7ad7a
c9823aed-2537-11eb-9d07-0610f586dfc5,"",,,626f624f-8256-4c6e-9e49-e85c4aaa5bd8,11499153-25d9-4beb-85e4-44357e9bd4a6,595f0d72-a229-4028-8f5a-085dae3a25d3,2020-11-12 23:34:22.238336+00,2020-11-12 22:38:30.204075+00,,,,23a06a1c-9fdc-11e7-b2cc-02e0c6d7ad7a,cd37476e-e503-11e7-b2cc-02e0c6d7ad7a
c9823aef-2537-11eb-9d07-0610f586dfc5,"",,,3775f52e-a78d-4bc0-b582-3de9fe8310e7,11499153-25d9-4beb-85e4-44357e9bd4a6,5e4df6f0-382d-4a4d-a439-b3afbb67095a,2020-11-12 23:34:22.254984+00,2020-11-12 22:38:30.217582+00,,,,23a06a1c-9fdc-11e7-b2cc-02e0c6d7ad7a,6b371a4c-e505-11e7-b2cc-02e0c6d7ad7a
c9823af0-2537-11eb-9d07-0610f586dfc5,"",,,5a4c42b4-b884-4d7c-8d52-cffcebf75df8,11499153-25d9-4beb-85e4-44357e9bd4a6,e93dda75-a47b-470d-8a25-0e4d78e84932,2020-11-12 23:34:22.263282+00,2020-11-12 22:38:30.224267+00,,,,23a06a1c-9fdc-11e7-b2cc-02e0c6d7ad7a,5f1b17b2-e506-11e7-b2cc-02e0c6d7ad7a
c9823af1-2537-11eb-9d07-0610f586dfc5,"",,,3fd5b5a3-9060-4db4-84be-dbf87c44a46f,11499153-25d9-4beb-85e4-44357e9bd4a6,57a05479-194b-44cb-a49c-545909252af6,2020-11-12 23:34:22.272036+00,2020-11-12 22:38:30.231108+00,,,,23a06a1c-9fdc-11e7-b2cc-02e0c6d7ad7a,6b371a4c-e505-11e7-b2cc-02e0c6d7ad7a
c9823af2-2537-11eb-9d07-0610f586dfc5,"",,,3fd5b5a3-9060-4db4-84be-dbf87c44a46f,1469470f-eca8-477d-b617-431607ba5b23,2dda633f-6fe2-4d75-b27f-ff9c8faf3112,2020-11-12 23:34:22.280586+00,2020-11-12 22:38:30.238435+00,,,,23a06a1c-9fdc-11e7-b2cc-02e0c6d7ad7a,6b371a4c-e505-11e7-b2cc-02e0c6d7ad7a
